,Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
149,Bhutan,"62,697",21                                ,"61,564","1,112",,,"2,303,734","787,941 "
150,Syria,"57,743","3,165                                ","54,578",0,,,"146,269","19,364,809 "
151,Burundi,"54,721",38                                ,"53,569","1,114",,,"345,742","12,624,840 "
152,Seychelles,"50,937",172                                ,"50,750",15,,,,"99,426 "
153,Gabon,"48,992",307                                ,"48,674",11,,,"1,621,909","2,331,533 "
154,Andorra,"48,015",165                                ,"47,563",287,,,"249,838","77,463 "
155,Papua New Guinea,"46,864",670                                ,"46,168",26,,,"249,149","9,292,169 "
156,Curaçao,"45,986",295                                ,"44,720",971,,,"496,693","165,529 "
157,Aruba,"44,224",292                                ,"42,438","1,494",,,"177,885","107,609 "
158,Tanzania,"43,078",846                                ,N/A,N/A,,,,"63,298,550 "
159,Mauritius,"43,025","1,051                                ","41,278",696,,,"358,675","1,274,727 "
160,Mayotte,"42,027",188                                ,N/A,N/A,,,"176,919","286,259 "
161,Togo,"39,531",290                                ,"39,216",25,,,"812,881","8,680,837 "
162,Guinea,"38,563",468                                ,"37,757",338,,,"660,107","13,865,691 "
163,Bahamas,"38,084",844                                ,"36,366",874,,,"257,839","400,516 "
164,Isle of Man,"38,008",116                                ,N/A,N/A,,,"150,753","85,732 "
165,Lesotho,"34,790",723                                ,"25,980","8,087",,,"431,221","2,175,699 "
166,Faeroe Islands,"34,658",28                                ,N/A,N/A,,,"778,000","49,233 "
167,Haiti,"34,454",860                                ,"33,372",222,,,"132,422","11,680,283 "
168,Mali,"33,162",743                                ,"32,332",87,,,"804,909","21,473,764 "
169,Cayman Islands,"31,472",37                                ,"8,553","22,882",,,"222,773","67,277 "
170,Saint Lucia,"30,150",410                                ,"29,095",645,,,"210,983","185,113 "
171,Benin,"28,036",163                                ,"27,847",26,,,"604,310","12,784,726 "
172,Somalia,"27,334","1,361                                ","13,182","12,791",,,"400,466","16,841,795 "
173,Micronesia,"26,547",65                                ,N/A,N/A,,,"82,430","117,489 "
174,Congo,"25,375",386                                ,"24,006",983,,,"347,815","5,797,805 "
175,San Marino,"24,915",126                                ,"24,760",29,,,"196,855","34,085 "
176,Solomon Islands,"24,575",153                                ,N/A,N/A,,,,"721,159 "
177,Timor-Leste,"23,460",138                                ,"23,102",220,,,"278,529","1,369,429 "
178,Burkina Faso,"22,056",396                                ,"21,596",64,,,"248,995","22,102,838 "
179,Liechtenstein,"21,515",94                                ,"21,352",69,,,"112,457","38,387 "
180,Gibraltar,"20,550",113                                ,"16,579","3,858",,,"534,283","33,704 "
181,Macao,"20,000",123                                ,"3,487","16,390",,,"7,850","667,490 "
182,Grenada,"19,693",238                                ,"19,358",97,,,"182,981","113,475 "
183,Bermuda,"18,860",165                                ,"18,685",10,,,"1,029,558","61,939 "
184,Nicaragua,"18,491",225                                ,"4,225","14,041",,,,"6,779,100 "
185,South Sudan,"18,368",138                                ,"18,115",115,,,"410,280","11,618,511 "
186,Tajikistan,"17,786",125                                ,"17,264",397,,,,"9,957,464 "
187,Equatorial Guinea,"17,229",183                                ,"16,907",139,,,"365,697","1,496,662 "
188,Monaco,"17,109",67                                ,"15,992","1,050",,,"78,646","39,783 "
189,Tonga,"16,865",13                                ,"15,638","1,214",,,"535,009","107,749 "
190,Samoa,"16,778",31                                ,"1,605","15,142",,,"187,397","202,239 "
191,Marshall Islands,"16,138",17                                ,"16,121",0,,,,"60,057 "
192,Dominica,"15,798",74                                ,"15,673",51,,,"229,344","72,344 "
193,Djibouti,"15,690",189                                ,"15,427",74,,,"305,941","1,016,097 "
194,CAR,"15,368",113                                ,"15,200",55,,,"81,294","5,016,678 "
195,Gambia,"12,626",372                                ,"12,189",65,,,"155,686","2,558,482 "
196,Saint Martin,"12,324",63                                ,"1,399","10,862",,,"112,382","39,730 "
197,Vanuatu,"12,019",14                                ,"11,976",29,,,"24,976","321,832 "
198,Greenland,"11,971",21                                ,"2,761","9,189",,,"164,926","56,973 "
199,Yemen,"11,945","2,159                                ","9,124",662,,,"329,592","31,154,867 "
200,Caribbean Netherlands,"11,682",38                                ,"10,476","1,168",,,"30,126","26,647 "
201,Sint Maarten,"11,051",92                                ,"10,905",54,,,"62,056","43,966 "
202,Eritrea,"10,189",103                                ,"10,086",0,,,"23,693","3,662,244 "
203,Niger,"9,931",312                                ,"8,890",729,,,"254,538","26,083,660 "
204,St. Vincent Grenadines,"9,644",124                                ,"9,493",27,,,"114,197","111,551 "
205,Guinea-Bissau,"9,614",177                                ,"8,929",508,,,"145,231","2,063,367 "
206,Comoros,"9,109",161                                ,"8,939",9,,,,"907,419 "
207,Antigua and Barbuda,"9,106",146                                ,"8,954",6,,,"18,901","99,509 "
208,Liberia,"8,090",295                                ,"7,783",12,,,"139,824","5,305,117 "
